Domain,Area,Element,Item,Year,Unit,Value
"Food Balances (2010-)","World","Feed","Offals","2022","1000 t","963"
"Food Balances (2010-)","World","Losses","Offals","2022","1000 t","1733"
"Food Balances (2010-)","World","Processing","Offals","2022","1000 t","387"
"Food Balances (2010-)","World","Other uses (non-food)","Offals","2022","1000 t","0"
"Food Balances (2010-)","World","Tourist consumption","Offals","2022","1000 t","58"
"Food Balances (2010-)","World","Residuals","Offals","2022","1000 t","-735"
"Food Balances (2010-)","World","Food","Offals","2022","1000 t","19764"
"Food Balances (2010-)","World","Food supply quantity (kg/capita/yr)","Offals","2022","kg/cap","2.49"
"Food Balances (2010-)","World","Food supply (kcal/capita/day)","Offals","2022","kcal/cap/d","9"
"Food Balances (2010-)","World","Food supply (kcal)","Offals","2022","Kcal","26127242.91"
"Food Balances (2010-)","World","Production","Animal fats","2010","1000 t","38921"
"Food Balances (2010-)","World","Import quantity","Animal fats","2010","1000 t","9619"
"Food Balances (2010-)","World","Stock Variation","Animal fats","2010","1000 t","-161"
"Food Balances (2010-)","World","Export quantity","Animal fats","2010","1000 t","8323"
"Food Balances (2010-)","World","Feed","Animal fats","2010","1000 t","1247"
